Counter,Demand_el [MWh],Demand_th [MWh],Sol_irradiation [Wh/sqm],Wind_power [kW/unit],Charging [-],Dicharging [-],Mobility_bev [MWh],Mobility_car [km]
128.0000000000,2.2074426580,22.0877551000,0.0000000000,57.7394176700,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
129.0000000000,2.4062135290,22.3693877600,7.9901315710,57.7394176700,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
130.0000000000,2.5115783570,22.5571428600,47.9407894300,148.0721909000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
131.0000000000,2.6436965760,22.1816326500,74.5745613300,134.9184882000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
132.0000000000,2.7337611920,21.6183673500,74.5745613300,237.6585173000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
133.0000000000,2.7106350080,21.7122449000,69.2478069500,174.6065291000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
134.0000000000,2.6325951280,22.0877551000,66.5844297600,82.3036771400,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
135.0000000000,2.5173599030,21.9938775500,61.2576753800,49.5898409700,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
136.0000000000,2.4913099720,21.9000000000,13.3168859500,195.6238585000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
137.0000000000,2.6034675680,22.2755102000,0.0000000000,237.6585173000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
138.0000000000,2.9544271950,22.5571428600,0.0000000000,412.5479093000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
139.0000000000,2.9772456160,21.9938775500,0.0000000000,237.6585173000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
140.0000000000,2.8900387990,21.9000000000,0.0000000000,57.7394176700,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
141.0000000000,2.5756589910,20.1163265300,0.0000000000,15.6181118600,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
142.0000000000,2.3334276010,19.8346938800,0.0000000000,12.4726612000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
143.0000000000,2.1638722240,18.7081632700,0.0000000000,134.9184882000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
144.0000000000,1.7933696520,17.8632653100,0.0000000000,382.3801780000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
145.0000000000,1.4623706480,17.0183673500,0.0000000000,258.6758467000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
146.0000000000,1.2615553520,17.0183673500,0.0000000000,279.6931761000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
147.0000000000,1.1874944070,16.9244898000,0.0000000000,216.6411879000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
